"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Cody Bellinger","Dodgers","156","641","547","160","32","4","40","108","120","88","126","3","16","4",".293",".392",".585",".977",".396","6.0","1.1","5.6","15998"
"Freddie Freeman","Braves","148","647","558","167","38","3","31","98","108","78","123","7","7","3",".299",".389",".545",".934",".384","3.0","-0.3","4.2","5361"
"Anthony Rizzo","Cubs","143","613","518","147","30","3","27","82","101","70","86","21","6","4",".284",".388",".510",".898",".376","4.0","-0.9","3.7","3473"
"Max Muncy","Dodgers","138","523","437","112","20","1","29","81","92","77","131","6","4","1",".256",".373",".506",".879",".369","-4.0","0.1","3.6","13301"
"Peter Alonso","Mets","145","620","539","137","27","2","43","85","108","62","162","16","1","2",".254",".347",".551",".898",".369","1.0","-1.0","3.5","19251"
"Matt Olson","Athletics","141","584","514","130","28","0","35","80","98","60","152","8","1","0",".253",".339",".512",".851",".352","7.0","-0.1","3.4","14344"
"Rhys Hoskins","Phillies","153","659","548","132","30","3","34","91","109","96","168","9","4","2",".241",".360",".493",".852",".357","1.0","-0.4","2.6","16472"
"Paul Goldschmidt","Cardinals","147","635","546","143","26","2","27","88","88","81","158","5","8","3",".262",".361",".465",".826",".348","3.0","-0.1","2.5","9218"
"Matt Carpenter","Cardinals","129","532","446","107","27","2","20","73","60","75","130","6","4","1",".240",".354",".444",".798",".338","-2.0","0.1","2.4","8090"
"Luke Voit","Yankees","127","499","433","115","20","2","23","69","74","57","126","8","0","1",".266",".361",".480",".841",".356","0.0","-0.7","2.2","14811"
"Joey Votto","Reds","131","563","472","129","26","1","16","70","59","82","104","5","4","0",".273",".384",".434",".818",".350","3.0","0.4","2.0","4314"
"Carlos Santana","Indians","140","606","510","129","27","2","24","80","82","89","95","3","3","1",".253",".365",".455",".820",".346","1.0","-0.2","2.0","2396"
"Josh Bell","Pirates","149","608","527","142","32","4","27","84","101","73","113","3","1","3",".269",".359",".499",".858",".355","-3.0","-1.4","2.0","13145"
"Trey Mancini","Orioles","153","644","582","159","30","3","31","83","92","51","149","7","1","0",".273",".337",".495",".832",".347","-8.0","-0.1","1.9","15149"
"Nathaniel Lowe","Rays","136","559","492","127","24","1","22","71","64","61","129","4","1","1",".258",".343",".445",".789",".335","0.0","-0.5","1.7","19566"
"Daniel Vogelbach","Mariners","135","535","450","108","18","0","26","70","77","80","132","2","0","0",".240",".355",".453",".808",".344","0.0","-0.3","1.7","14130"
"Mike Ford","Yankees","122","491","432","111","22","0","25","69","75","51","92","5","0","1",".257",".340",".481",".822",".344","0.0","-0.7","1.6","15585"
"C.J. Cron","Tigers","127","499","455","120","24","1","26","57","74","29","103","11","1","1",".264",".321",".492",".813",".337","2.0","-0.5","1.5","12546"
"Kevin Cron","Diamondbacks","120","480","427","106","22","1","30","68","86","43","139","5","1","2",".248",".321",".515",".836",".344","3.0","-0.9","1.5","16211"
"Victor Caratini","Cubs","108","361","319","85","17","1","10","42","42","33","73","4","1","0",".266",".339",".420",".759",".324","-3.0","0.0","1.4","14968"
"Edwin Encarnacion","White Sox","104","453","391","94","14","0","28","67","81","51","102","7","1","1",".240",".336",".491",".827",".345","0.0","-0.5","1.4","2151"
"Brandon Belt","Giants","128","522","445","106","26","3","15","62","54","70","119","4","3","2",".238",".345",".411",".756",".324","6.0","-0.6","1.4","10264"
"Jose Abreu","White Sox","147","640","584","157","33","2","28","72","101","36","136","13","2","1",".269",".322",".476",".798",".331","-3.0","-0.3","1.4","15676"
"Marwin Gonzalez","Twins","126","487","443","117","26","1","15","55","65","36","103","5","4","2",".264",".326",".429",".755",".320","2.0","-0.3","1.2","5497"
"Christian Walker","Diamondbacks","140","553","493","126","27","3","25","76","79","51","141","5","5","1",".256",".329",".475",".804",".335","0.0","0.3","1.1","13419"
"Tomas Telis","Twins","96","356","333","92","16","2","5","38","36","17","40","3","1","1",".276",".315",".381",".697",".298","0.0","-0.4","1.0","10067"
"Justin Smoak","Brewers","128","490","415","97","20","0","22","55","71","70","118","4","0","0",".234",".349",".441",".790",".337","0.0","-0.3","1.0","9054"
"Eric Thames","Nationals","122","425","368","89","19","3","24","62","65","49","131","7","4","2",".242",".341",".505",".847",".351","-3.0","-0.3","1.0","3711"
"Ji-Man Choi","Rays","119","446","380","94","20","1","16","48","56","56","104","4","3","2",".247",".345",".432",".777",".330","-2.0","-0.5","1.0","5452"
"Wil Myers","Padres","136","512","455","109","24","2","21","63","65","52","156","2","16","5",".240",".318",".440",".758",".320","-1.0","0.8","0.9","10047"
