"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Peter O'Brien","Braves","103","394","356","69","14","1","19","44","55","34","154","2","1","0",".194",".266",".399",".665",".279","-4.0","0.0","-1.5","13288"
"Jorge Ona","Padres","81","332","301","61","12","1","8","33","31","25","108","4","1","3",".203",".271",".329",".600",".259","-3.0","-1.3","-1.5","sa974072"
"Jahmai Jones","Angels","130","560","511","111","18","4","9","52","40","40","141","4","9","8",".217",".277",".321",".598",".260","-7.0","-2.0","-1.5","sa874807"
"Garrett Whitley","Rays","113","445","396","64","14","3","11","42","38","44","205","3","11","11",".162",".250",".295",".545",".241","6.0","-2.8","-1.5","sa874244"
"Joey Curletta","","121","502","449","85","18","1","17","51","52","44","187","3","3","1",".189",".263",".347",".610",".261","1.0","0.0","-1.5","sa658025"
"Johneshwy Fargas","","115","426","388","76","9","4","6","39","31","24","110","9","28","17",".196",".258",".286",".544",".240","0.0","-2.0","-1.5","sa737941"
"Sandro Fabian","Giants","92","378","346","67","12","2","8","35","31","21","100","7","3","2",".194",".252",".309",".561",".244","2.0","-0.4","-1.5","sa872803"
"Isiah Gilliam","Yankees","122","488","450","88","15","1","17","49","53","32","196","4","9","8",".196",".254",".347",".601",".256","2.0","-1.9","-1.5","sa829343"
"Alex Kowalczyk","Rangers","79","314","290","62","11","0","7","29","25","17","109","5","2","1",".214",".268",".324",".592",".257","-11.0","-0.2","-1.5","sa918272"
"Luke Burch","","77","302","281","56","5","1","0","23","13","14","102","2","7","5",".199",".242",".224",".466",".207","8.0","-0.9","-1.6","sa3003950"
"Tyler Neslony","Braves","93","361","331","72","15","2","5","35","30","25","93","3","4","4",".218",".277",".320",".597",".259","-1.0","-1.1","-1.6","sa918131"
"Donovan Casey","Dodgers","112","485","452","93","15","4","15","53","54","28","179","2","11","3",".206",".254",".356",".610",".258","-1.0","0.7","-1.6","sa915654"
"Wagner Lagrange","Mets","101","407","378","82","16","3","5","36","31","22","91","3","2","3",".217",".264",".315",".578",".250","0.0","-1.1","-1.6","sa875875"
"Heath Quinn","Giants","89","363","328","65","13","1","8","33","30","29","127","4","2","1",".198",".270",".317",".587",".257","-4.0","-0.2","-1.6","sa737904"
"Granden Goetzman","","76","308","287","55","10","2","8","30","30","18","98","1","5","3",".192",".240",".324",".564",".240","-3.0","-0.4","-1.6","sa597785"
"Cal Mitchell","Pirates","125","520","480","103","21","2","13","50","52","32","171","4","2","3",".215",".267",".348",".615",".262","1.0","-1.1","-1.7","sa3004258"
"Greyson Jenista","Braves","122","465","419","85","16","3","10","44","41","40","151","1","3","8",".203",".271",".327",".598",".259","4.0","-3.1","-1.7","sa3007044"
