"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jose Altuve","Astros","150","673","601","178","34","4","24","100","92","57","99","7","12","4","",".295",".361",".486",".847",".356","","126","-0.5","-4.4","","22.2","-1.9","4.3","5417"
"Ketel Marte","Diamondbacks","150","647","578","171","34","8","23","87","83","56","89","5","8","3","",".296",".360",".501",".861",".360","","121","1.0","-0.4","","18.9","2.3","4.1","13613"
"Ozzie Albies","Braves","150","652","590","169","37","6","24","89","82","48","100","5","14","5","",".287",".344",".490",".834",".348","","113","2.6","4.4","","13.4","6.9","4.0","16556"
"Yoan Moncada","White Sox","150","662","586","156","31","4","28","92","86","64","181","5","12","5","",".267",".341",".475",".816",".342","","116","1.9","0.3","","15.2","2.8","4.0","17232"
"Gleyber Torres","Yankees","150","618","552","150","26","1","34","86","98","54","128","5","6","3","",".272",".340",".509",".849",".352","","120","-0.2","-8.7","","15.9","-1.2","3.6","16997"
"Jeff McNeil","Mets","147","660","594","171","36","3","20","88","73","42","88","15","9","4","",".288",".348",".462",".810",".342","","115","1.0","-0.3","","14.4","0.7","3.5","15362"
"DJ LeMahieu","Yankees","150","683","615","175","30","2","19","93","74","54","100","5","7","3","",".285",".345",".434",".779",".332","","107","-0.5","2.6","","5.6","4.3","3.3","9874"
"Javier Baez","Cubs","150","637","593","162","34","4","32","84","100","33","169","4","14","6","",".273",".313",".507",".820",".336","","106","2.0","-1.6","","7.4","5.9","3.3","12979"
"Brandon Lowe","Rays","134","570","506","125","27","2","23","70","73","50","157","6","7","3","",".247",".321",".447",".768",".324","","105","1.6","1.2","","4.8","3.0","2.7","18882"
"Adalberto Mondesi","Royals","149","649","605","153","29","9","20","82","76","33","175","3","49","14","",".253",".293",".430",".723",".303","","85","4.8","4.3","","-7.8","11.8","2.6","13769"
"Max Muncy","Dodgers","136","582","486","117","21","1","29","81","79","82","153","6","4","2","",".241",".355",".467",".822",".347","","118","1.2","2.3","","14.8","-7.1","2.6","13301"
"Luis Arraez","Twins","130","544","490","153","28","2","6","65","57","43","46","3","6","3","",".312",".369",".415",".784",".338","","109","0.9","-3.5","","7.4","-1.3","2.5","18568"
"Kolten Wong","Cardinals","141","570","498","133","28","3","12","61","60","51","88","13","16","6","",".266",".347",".409",".756",".323","","101","2.2","1.8","","2.6","4.1","2.4","12532"
"Keston Hiura","Brewers","144","606","549","149","32","3","28","78","90","41","160","10","12","6","",".271",".330",".495",".826",".344","","110","0.2","-5.9","","8.1","-3.5","2.4","20003"
"Cavan Biggio","Blue Jays","138","600","504","118","24","3","20","77","67","83","156","4","12","5","",".234",".345",".413",".758",".327","","103","1.1","-0.3","","3.6","-2.9","2.1","19252"
"Whit Merrifield","Royals","150","688","624","176","37","6","14","90","65","48","114","6","23","8","",".282",".337",".427",".763",".323","","99","2.7","-5.1","","1.6","-5.2","2.0","11281"
"Gavin Lux","Dodgers","130","530","477","127","23","4","17","62","65","44","109","3","9","4","",".266",".329",".437",".766",".324","","102","0.5","-0.9","","2.1","1.3","2.0","19955"
"Cesar Hernandez","Indians","133","578","506","140","26","2","11","71","56","59","99","5","9","4","",".277",".355",".399",".755",".325","","98","0.6","-1.3","","-0.9","0.9","2.0","10556"
"Robinson Cano","Mets","128","558","508","138","31","1","19","66","73","39","89","6","1","0","",".271",".327",".448",".775",".325","","104","-2.1","-1.8","","1.2","0.3","1.9","3269"
"Adam Frazier","Pirates","130","561","502","139","29","5","10","64","53","43","75","7","7","4","",".277",".340",".412",".752",".321","","98","1.0","-1.4","","-0.6","0.8","1.8","15223"
"Jonathan Villar","Marlins","150","662","589","152","28","4","17","79","65","59","169","5","33","10","",".257",".327",".407",".734",".314","","96","3.1","-6.8","","-0.2","-3.2","1.7","10071"
"Jonathan Schoop","Tigers","136","557","515","135","28","2","26","68","79","27","127","8","2","1","",".262",".306",".477",".783",".325","","101","-0.9","-4.2","","-0.3","-2.6","1.6","11265"
"Jurickson Profar","Padres","130","529","464","113","25","2","18","59","63","51","79","8","7","3","",".244",".327",".423",".749",".319","","97","0.6","-1.7","","-1.1","0.5","1.6","10815"
"David Fletcher","Angels","118","514","468","131","26","3","6","61","48","35","56","4","7","3","",".280",".332",".385",".717",".308","","93","0.4","1.6","","-4.1","2.0","1.6","17992"
"Tommy La Stella","Angels","102","424","381","105","19","1","13","53","51","33","53","4","2","1","",".275",".338",".431",".768",".327","","106","0.1","-0.8","","3.1","-2.9","1.5","12371"
"Hanser Alberto","Orioles","139","589","556","160","27","2","13","64","61","20","58","5","6","3","",".287",".315",".411",".726",".307","","88","-0.3","0.4","","-9.2","2.9","1.4","11902"
"Shed Long","Mariners","122","509","458","113","22","3","15","57","54","40","124","4","9","4","",".247",".311",".406",".717",".305","","92","0.9","-0.7","","-4.1","0.6","1.4","16542"
"Luis Urias","Brewers","117","467","409","103","20","2","12","49","52","44","96","7","4","2","",".251",".332",".403",".735",".316","","92","-0.2","-1.6","","-5.3","4.1","1.4","16622"
"Nicky Lopez","Royals","130","533","484","132","24","3","7","56","50","37","58","4","9","4","",".272",".326",".377",".703",".304","","85","0.1","2.0","","-9.8","4.3","1.3","19339"
"Tommy Edman","Cardinals","112","481","441","121","22","5","11","55","50","27","80","5","14","5","",".274",".322",".420",".742",".315","","95","2.0","1.1","","-1.0","-2.2","1.2","19470"
"Niko Goodrum","Tigers","146","629","564","136","30","4","18","71","70","53","172","4","13","5","",".241",".309",".407",".716",".304","","87","2.2","-6.0","","-8.5","-2.2","1.1","12092"
"Starlin Castro","Nationals","122","523","486","137","25","2","16","60","69","29","94","3","3","1","",".283",".324",".440",".764",".322","","95","-0.9","-2.9","","-4.6","-0.9","1.1","4579"
"Ryan McMahon","Rockies","131","532","474","127","27","2","20","64","72","48","142","3","5","2","",".268",".337",".462",".799",".336","","92","0.3","-1.2","","-5.4","-0.5","1.1","15112"
"Rougned Odor","Rangers","136","566","509","119","26","1","28","71","78","43","154","7","13","7","",".235",".302",".456",".758",".316","","87","1.5","-3.1","","-8.1","-0.8","1.1","12282"
"Howie Kendrick","Nationals","66","274","248","76","15","1","9","35","37","19","44","3","3","1","",".307",".361",".482",".843",".355","","116","-0.6","-0.6","","5.3","-3.8","1.0","4229"
"Michael Chavis","Red Sox","113","461","415","103","19","1","21","57","64","35","130","5","3","1","",".249",".312",".452",".764",".320","","94","-0.3","0.5","","-3.7","-2.3","1.0","17321"
"Brian Dozier","","65","277","240","56","12","1","12","35","34","30","60","3","3","1","",".235",".325",".437",".761",".322","","99","0.2","-0.8","","-0.2","0.3","0.9","9810"
"Mauricio Dubon","Giants","118","483","449","119","23","1","12","48","51","23","76","3","11","5","",".266",".305",".403",".708",".300","","86","0.3","-0.5","","-8.5","2.2","0.9","16530"
