"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Grenny Cumana","Phillies","80","280","267","64","8","2","3","24","20","7","38","3","4","8",".240",".267",".318",".586",".253","-1.0","-2.8","-1.5","sa735846"
"Freudis Nova","Astros","86","336","322","67","12","0","9","31","30","11","92","1","10","9",".208",".235",".329",".564",".239","-7.0","-2.0","-1.6","sa3003195"
"Riley Delgado","Braves","128","539","507","119","16","2","1","44","28","22","58","6","1","1",".235",".274",".280",".554",".244","0.0","-0.5","-1.6","sa3004934"
"Oswaldo Cabrera","Yankees","129","529","496","104","21","1","10","47","45","26","133","1","7","11",".210",".249",".317",".565",".242","3.0","-3.6","-1.6","sa916954"
"Kevin Merrell","Royals","111","460","432","95","15","5","2","39","27","20","111","2","15","6",".220",".256",".292",".548",".236","-3.0","0.2","-1.6","sa915707"
"Edgardo Fermin","Mets","96","379","353","64","13","5","6","32","31","17","126","4","8","6",".181",".225",".297",".523",".223","2.0","-1.1","-1.6","sa872571"
"Connor Kopach","Mariners","108","458","416","72","15","3","8","40","33","31","171","5","15","5",".173",".237",".281",".519",".227","-1.0","0.6","-1.7","sa3006791"
"Ray-Patrick Didder","","116","446","388","66","10","3","5","41","24","40","154","14","20","8",".170",".270",".250",".520",".237","-5.0","0.3","-1.8","sa736824"
"Mikey White","Athletics","103","442","406","78","18","1","8","40","39","29","147","5","1","1",".192",".254",".300",".554",".242","3.0","-0.4","-1.8","sa658966"
"Osvaldo Duarte","Astros","123","493","461","89","13","5","9","44","38","27","171","3","14","12",".193",".242",".302",".543",".235","-6.0","-2.6","-2.0","sa828299"
"Jake Gatewood","Brewers","109","452","418","77","16","2","14","45","47","29","190","2","4","1",".184",".239",".333",".571",".243","-5.0","0.2","-2.1","sa828685"
"Brendon Davis","Rangers","117","443","400","79","15","2","6","39","30","34","129","5","1","3",".198",".266",".290",".556",".245","3.0","-1.3","-2.1","sa875089"
"Anibal Sierra","Astros","111","413","381","63","11","1","6","33","26","23","155","6","2","5",".165",".223",".247",".470",".208","-2.0","-1.9","-2.3","sa908626"
"Anfernee Seymour","","108","396","366","77","13","3","2","34","24","21","126","2","16","10",".210",".256",".279",".534",".234","-2.0","-1.3","-2.4","sa829114"
