"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Ozzie Albies","Braves","156","679","625","183","41","8","27","106","86","47","101","4","16","3",".293",".345",".514",".858",".356","7.0","1.6","4.8","16556"
"Gleyber Torres","Yankees","152","622","558","160","26","1","41","94","115","52","128","4","7","2",".287",".348",".557",".905",".371","-7.0","0.2","4.7","16997"
"Jose Altuve","Astros","137","603","544","166","29","3","24","90","78","48","83","6","16","6",".305",".366",".502",".868",".364","-2.0","0.2","4.5","5417"
"Ketel Marte","Diamondbacks","155","635","576","169","33","9","22","88","78","52","89","3","10","2",".293",".353",".497",".850",".355","3.0","0.8","4.0","13613"
"Yoan Moncada","White Sox","141","608","547","150","28","4","26","84","78","52","169","5","14","5",".274",".341",".483",".824",".345","3.0","0.3","3.9","17232"
"Jeff McNeil","Mets","136","573","519","152","32","4","19","77","71","35","73","16","7","4",".293",".355",".480",".835",".352","2.0","-0.7","3.7","15362"
"DJ LeMahieu","Yankees","142","633","577","169","28","3","17","94","75","46","91","3","6","4",".293",".345",".440",".786",".334","7.0","-0.9","3.6","9874"
"Max Muncy","Dodgers","138","523","437","112","20","1","29","81","92","77","131","6","4","1",".256",".373",".506",".879",".369","-4.0","0.1","3.6","13301"
"Javier Baez","Cubs","156","590","553","151","32","5","31","87","97","29","158","4","14","7",".273",".312",".517",".830",".339","4.0","-0.5","3.5","12979"
"Luis Arraez","Twins","155","638","576","178","30","3","6","82","45","57","45","1","6","4",".309",".370",".403",".773",".334","-1.0","-1.0","2.8","18568"
"Whit Merrifield","Royals","156","690","637","183","39","6","14","88","64","42","116","5","24","9",".287",".334",".433",".767",".324","2.0","0.5","2.8","11281"
"Gavin Lux","Dodgers","136","605","550","147","25","8","21","80","79","52","136","1","10","7",".267",".331",".456",".787",".331","-2.0","-1.4","2.8","19955"
"Kolten Wong","Cardinals","144","503","437","118","22","4","10","56","51","43","75","14","17","4",".270",".351",".407",".759",".324","6.0","1.4","2.6","12532"
"Keston Hiura","Brewers","142","604","547","148","33","5","27","83","86","42","157","13","16","7",".271",".336",".497",".833",".348","-6.0","-0.1","2.5","20003"
"Luis Urias","Brewers","143","602","526","132","28","6","14","78","76","59","129","13","6","2",".251",".339",".407",".746",".321","3.0","0.0","2.5","16622"
"Jonathan Villar","Marlins","155","634","569","148","25","3","17","82","57","57","157","3","41","11",".260",".329",".404",".733",".314","2.0","3.1","2.4","10071"
"Cavan Biggio","Blue Jays","134","574","487","108","20","3","19","74","65","78","163","4","14","4",".222",".332",".392",".724",".313","5.0","0.7","2.3","19252"
"Tommy Edman","Cardinals","136","576","532","143","24","7","12","71","53","33","98","5","19","3",".269",".315",".408",".723",".308","8.0","2.2","2.3","19470"
"Adam Frazier","Pirates","156","577","522","146","31","6","10","75","55","42","73","7","7","7",".280",".340",".420",".759",".323","3.0","-2.0","2.0","15223"
"Jurickson Profar","Padres","135","524","462","114","26","3","16","68","59","50","79","9","8","1",".247",".331",".420",".751",".321","1.0","0.9","1.9","10815"
"Adalberto Mondesi","Royals","120","497","461","115","22","8","14","62","63","23","141","2","42","7",".249",".285",".423",".708",".296","4.0","5.1","1.9","13769"
"Starlin Castro","Nationals","153","638","600","174","33","3","22","73","90","30","105","2","3","2",".290",".323",".465",".788",".329","-3.0","-0.6","1.8","4579"
"Brandon Lowe","Rays","115","468","420","102","23","3","18","56","62","41","138","5","6","2",".243",".316",".440",".757",".319","-1.0","0.1","1.8","18882"
"Ty France","Padres","142","572","509","130","26","2","19","70","72","37","113","22","2","3",".255",".330",".426",".757",".323","-2.0","-1.2","1.7","17982"
"Jonathan Schoop","Tigers","137","549","512","134","27","1","25","71","72","24","122","9","1","1",".262",".304",".465",".769",".321","-2.0","-0.5","1.7","11265"
"Brian Dozier","","130","537","471","116","24","2","23","70","72","58","114","5","7","4",".246",".333",".452",".786",".331","-2.0","-0.6","1.7","9810"
"David Fletcher","Angels","148","633","586","158","30","4","6","72","48","39","69","3","10","3",".270",".317",".365",".683",".295","5.0","0.3","1.6","17992"
"Cesar Hernandez","Indians","154","654","585","156","23","4","13","77","59","60","117","5","13","5",".267",".338",".386",".725",".312","0.0","0.0","1.6","10556"
"Michael Brosseau","Rays","117","455","413","103","22","1","13","52","50","28","101","10","5","5",".249",".311",".402",".713",".305","4.0","-1.4","1.5","19683"
"Joey Wendle","Rays","116","456","420","108","24","4","8","51","45","23","86","8","12","3",".257",".305",".390",".696",".295","5.0","0.9","1.5","13853"
"Asdrubal Cabrera","Nationals","127","506","454","124","28","1","19","63","82","44","97","4","3","0",".273",".340",".465",".805",".338","-8.0","0.3","1.4","4962"
"Phillip Evans","Pirates","129","504","457","114","23","3","12","57","48","39","82","6","2","4",".249",".315",".392",".707",".304","5.0","-1.6","1.2","12950"
"Luis Rengifo","Angels","134","562","502","124","23","6","11","64","50","50","108","6","10","10",".247",".321",".382",".703",".303","1.0","-2.7","1.2","19858"
"Franklin Barreto","Athletics","126","506","461","104","23","4","20","64","63","34","163","7","11","2",".226",".287",".423",".710",".298","0.0","1.1","1.2","15519"
"Nicky Lopez","Royals","131","563","514","135","20","5","5","62","41","39","59","4","11","5",".263",".319",".350",".669",".292","7.0","-0.3","1.2","19339"
"Hanser Alberto","Orioles","140","527","503","140","19","2","12","54","47","14","50","3","3","4",".278",".300",".396",".696",".294","7.0","-1.4","1.2","11902"
"Derek Dietrich","Reds","131","424","366","90","18","3","18","54","55","32","103","23","1","1",".246",".342",".459",".801",".339","-6.0","-0.5","1.2","10542"
"Jason Kipnis","","121","510","455","115","26","2","15","57","65","43","91","4","7","2",".253",".320",".418",".737",".313","-1.0","0.3","1.1","9776"
"David Bote","Cubs","128","439","387","94","20","2","14","53","53","43","115","6","5","2",".243",".326",".413",".739",".314","0.0","-0.1","1.1","14593"
"Sheldon Neuse","Athletics","145","589","546","134","26","2","13","60","59","38","174","2","4","3",".245",".295",".372",".667",".285","5.0","-0.8","1.1","19635"
"Mauricio Dubon","Giants","146","622","584","152","26","2","13","67","52","28","93","3","15","8",".260",".296",".378",".675",".287","7.0","-0.8","1.0","16530"
"Jed Lowrie","Mets","123","506","452","110","24","1","13","53","56","49","99","2","0","0",".243",".318",".387",".705",".303","-1.0","-0.3","1.0","4418"
"Tommy La Stella","Angels","105","290","257","69","10","0","8","35","32","21","33","3","0","1",".268",".321",".401",".721",".296","5.0","-0.6","1.0","12371"
"Nate Orf","Athletics","119","483","416","93","18","3","7","55","38","45","88","14","9","3",".224",".317",".332",".648",".286","4.0","0.2","1.0","15407"
"Niko Goodrum","Tigers","120","475","432","104","24","4","14","57","48","39","136","2","11","4",".241",".305",".412",".717",".304","-4.0","0.2","1.0","12092"
"Isan Diaz","Marlins","140","540","481","114","21","3","14","68","63","55","136","2","7","3",".237",".318",".380",".698",".303","-1.0","-0.2","1.0","17922"
"Brendan Rodgers","Rockies","95","381","349","96","19","2","13","48","48","23","80","6","4","2",".275",".328",".453",".781",".328","3.0","-0.3","1.0","17907"
"Ildemaro Vargas","Diamondbacks","129","491","460","126","24","4","8","56","48","25","45","2","6","2",".274",".312",".396",".708",".302","3.0","0.1","0.9","13324"
"Joe Panik","","131","497","443","115","22","3","8","55","46","43","47","4","4","2",".260",".327",".377",".704",".302","-1.0","-0.3","0.9","11936"
"Rougned Odor","Rangers","148","602","546","129","28","2","29","84","89","45","165","7","13","9",".236",".301",".454",".755",".315","-2.0","-1.6","0.9","12282"
"Breyvic Valera","Padres","127","483","433","113","18","4","8","54","40","41","53","2","8","7",".261",".326",".376",".702",".303","2.0","-1.7","0.9","12758"
"Brad Miller","Cardinals","108","364","323","77","16","3","16","43","51","36","97","2","3","3",".238",".316",".455",".771",".323","2.0","-0.9","0.9","12775"
"Dilson Herrera","Orioles","114","431","391","88","18","1","18","51","53","32","125","5","8","5",".225",".291",".414",".705",".298","3.0","-0.8","0.9","14335"
"Daniel Robertson","Rays","99","374","323","73","13","1","7","40","31","39","91","10","3","2",".226",".326",".337",".664",".295","2.0","-0.5","0.9","14145"
"Enrique Hernandez","Dodgers","145","440","390","92","20","2","17","57","61","42","94","3","4","0",".236",".312",".428",".740",".311","-4.0","0.6","0.9","10472"
"Eric Sogard","Brewers","114","407","360","92","19","1","7","46","31","39","60","3","6","1",".256",".331",".372",".703",".304","2.0","0.5","0.8","7927"
"Ryan McMahon","Rockies","144","531","477","124","26","3","20","65","75","48","153","2","7","2",".260",".328",".453",".781",".328","-2.0","0.3","0.8","15112"
"Robinson Cano","Mets","93","377","346","90","23","0","9","40","39","25","59","4","0","0",".260",".316",".405",".720",".305","-1.0","-0.2","0.8","3269"
"Brock Holt","Brewers","102","347","303","80","16","2","6","39","37","35","70","6","4","4",".264",".349",".389",".738",".320","-1.0","-1.2","0.8","9345"
