"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Domingo Leyba","Diamondbacks","121","494","454","114","27","4","12","60","53","33","89","4","1","2",".251",".306",".407",".713",".302","-2.0","-0.9","0.7","16404"
"Michael Chavis","Red Sox","116","470","429","104","22","1","23","57","69","34","146","5","3","1",".242",".304",".459",".763",".319","-7.0","0.0","0.7","17321"
"Wilmer Flores","Giants","113","376","346","96","21","0","11","39","46","21","44","4","0","1",".277",".322",".434",".755",".319","-5.0","-0.6","0.7","5827"
"Scooter Gennett","","124","473","441","117","22","2","13","56","56","25","102","3","3","1",".265",".307",".413",".720",".304","-3.0","-0.1","0.7","10339"
"Jace Peterson","Brewers","124","433","382","93","19","4","8","47","47","45","84","3","12","4",".243",".326",".377",".703",".304","0.0","0.4","0.7","12325"
"Jose Peraza","Red Sox","152","546","509","140","24","4","8","58","50","23","74","8","16","8",".275",".315",".385",".700",".299","0.0","-0.6","0.7","13593"
"Greg Garcia","Padres","135","335","282","68","11","2","4","38","24","44","71","5","1","2",".241",".351",".337",".688",".307","0.0","-0.9","0.6","10951"
"Cory Spangenberg","Brewers","147","542","496","123","21","5","14","63","59","38","161","5","19","3",".248",".307",".395",".703",".300","-2.0","2.2","0.6","12294"
"Donnie Walton","Mariners","121","522","470","109","19","2","9","54","41","41","94","7","7","8",".232",".302",".338",".640",".280","1.0","-2.4","0.6","19314"
"Christian Colon","","128","486","428","106","22","1","6","48","40","40","66","7","13","8",".248",".319",".346",".665",".290","7.0","-1.2","0.6","11145"
"Thairo Estrada","Yankees","108","420","393","97","17","3","9","47","42","19","83","5","7","3",".247",".289",".374",".663",".283","1.0","-0.1","0.6","16426"
"Dixon Machado","","105","387","341","80","16","1","7","41","38","37","77","3","3","3",".235",".313",".349",".662",".289","3.0","-0.9","0.6","11472"
"Dustin Pedroia","Red Sox","82","357","323","86","15","0","5","40","36","30","44","1","2","2",".266",".329",".359",".688",".299","2.0","-0.7","0.6","8370"
"Yolmer Sanchez","Giants","148","573","520","132","26","7","6","59","48","39","115","5","8","6",".254",".310",".365",".676",".291","1.0","-1.3","0.5","11602"
"Robel Garcia","Cubs","130","473","422","92","15","4","19","59","70","43","167","4","3","5",".218",".294",".408",".701",".297","2.0","-1.8","0.5","13167"
"Pat Valaika","","132","433","403","88","20","2","16","47","45","23","127","1","3","2",".218",".260",".397",".657",".276","7.0","-0.4","0.5","14885"
"Tyler Saladino","","101","346","310","71","13","2","10","39","40","30","88","3","8","2",".229",".301",".381",".682",".293","0.0","0.6","0.5","10807"
"Jose Pirela","","120","447","415","109","22","3","16","55","57","26","96","3","3","3",".263",".309",".446",".755",".315","1.0","-0.9","0.5","5485"
"Howie Kendrick","Nationals","98","339","309","90","19","1","10","43","41","23","53","4","4","2",".291",".345",".456",".801",".338","-2.0","-0.3","0.5","4229"
"Juniel Querecuto","Diamondbacks","110","427","399","102","17","4","5","42","38","20","80","3","7","4",".256",".294",".356",".650",".278","5.0","-0.6","0.5","12140"
"Luis Guillorme","Mets","120","431","381","93","15","1","5","44","31","41","69","2","3","3",".244",".319",".328",".647",".286","2.0","-1.0","0.4","16451"
"Edmundo Sosa","Cardinals","127","506","471","114","20","3","10","52","46","18","107","10","4","3",".242",".282",".361",".643",".274","4.0","-0.7","0.4","17022"
"Dee Gordon","Mariners","132","539","507","141","15","7","3","60","31","19","79","5","30","10",".278",".308",".353",".661",".284","-3.0","1.3","0.4","8203"
"Garrett Hampson","Rockies","129","513","466","124","20","7","9","61","45","38","109","2","28","7",".266",".322",".397",".719",".306","2.0","2.3","0.4","19262"
"Mike Freeman","Indians","92","318","282","66","10","1","5","34","27","27","82","3","4","3",".234",".306",".330",".636",".278","6.0","-0.7","0.4","11241"
"Kyle Farmer","Reds","105","317","293","70","16","1","8","32","37","18","70","4","3","1",".239",".290",".382",".672",".286","0.0","0.0","0.4","14813"
"Max Moroff","Mets","91","321","271","52","10","1","9","39","39","45","102","2","4","2",".192",".310",".336",".646",".286","-1.0","-0.2","0.3","14556"
"Daniel Murphy","Rockies","121","472","433","128","31","2","15","60","74","32","65","3","2","1",".296",".345",".480",".826",".344","-1.0","-0.3","0.3","4316"
"Yangervis Solarte","","104","408","375","95","19","1","12","43","56","26","58","3","1","1",".253",".305",".405",".710",".300","-1.0","-0.4","0.3","5352"
"Corban Joseph","","120","469","435","114","23","1","9","48","49","27","57","2","2","1",".262",".306",".382",".687",".293","0.0","-0.3","0.3","5503"
"Ronny Rodriguez","Brewers","125","485","457","112","21","4","18","52","68","19","118","1","7","3",".245",".274",".427",".701",".291","1.0","-0.1","0.3","11875"
"Tzu-Wei Lin","Red Sox","94","348","320","77","15","2","5","36","26","25","81","0","7","5",".241",".295",".347",".642",".278","3.0","-1.0","0.3","14678"
"Kevin Kramer","Pirates","128","496","445","104","26","2","11","53","52","39","132","5","5","6",".234",".299",".375",".674",".288","2.0","-1.8","0.2","17689"
"Neil Walker","","106","387","342","84","13","1","11","43","43","40","78","3","2","0",".246",".328",".386",".714",".307","-5.0","0.2","0.2","7539"
"Tyler Wade","Yankees","122","470","425","95","17","4","7","51","36","36","120","4","16","5",".224",".289",".332",".621",".270","1.0","0.8","0.2","15730"
"Ian Kinsler","","94","348","319","74","16","0","9","38","28","24","55","3","5","5",".232",".290",".367",".657",".282","3.0","-1.3","0.2","6195"
"Donovan Solano","Giants","101","373","351","93","19","1","4","37","30","16","61","3","1","1",".265",".300",".359",".659",".283","1.0","-0.4","0.2","8623"
"Adrian Sanchez","Nationals","103","347","325","82","18","2","5","35","32","16","61","2","8","4",".252",".289",".366",".655",".277","3.0","-0.3","0.2","11338"
"Dawel Lugo","Tigers","148","607","581","149","26","5","11","62","56","19","102","3","5","3",".256",".282",".375",".657",".278","3.0","-0.6","0.2","14713"
"Brandon Drury","Blue Jays","121","451","416","96","23","1","13","44","46","30","112","3","1","1",".231",".286",".385",".671",".285","-1.0","-0.4","0.2","11615"
"Logan Forsythe","Phillies","105","395","344","79","15","1","8","43","35","45","102","4","3","1",".230",".324",".349",".673",".296","-2.0","-0.1","0.2","7185"
"Wilmer Difo","Nationals","124","435","394","97","14","3","7","51","35","34","88","2","11","5",".246",".308",".350",".658",".282","4.0","-0.2","0.1","14320"
"Shed Long","Mariners","111","466","423","97","18","3","12","52","43","37","132","3","7","6",".229",".295",".371",".666",".286","-3.0","-1.4","0.1","16542"
"Ronald Torreyes","","102","345","325","83","13","2","6","37","29","11","41","3","2","1",".255",".283",".363",".646",".275","2.0","-0.2","0.1","11400"
"Ben Zobrist","","87","324","283","73","13","1","5","40","32","36","45","1","1","1",".258",".340",".364",".703",".307","-5.0","-0.4","0.1","7435"
"Daniel Castro","","96","360","336","77","13","0","3","30","24","16","46","3","2","1",".229",".268",".295",".563",".243","7.0","-0.2","0.1","15450"
"T.J. Rivera","","82","298","278","75","15","1","7","32","36","12","52","4","1","1",".270",".306",".406",".713",".301","-3.0","-0.4","0.1","12495"
"Devon Travis","","81","322","306","78","17","1","8","36","37","13","58","2","4","2",".255",".289",".395",".684",".290","-3.0","-0.2","0.0","13862"
"Alex Blandino","Reds","104","369","313","65","15","1","8","41","29","43","111","10","3","4",".208",".321",".339",".659",".293","0.0","-1.3","0.0","16271"
"Gordon Beckham","","96","335","304","68","16","1","7","35","27","24","69","4","4","1",".224",".287",".352",".639",".276","1.0","0.2","0.0","9015"
"Carlos Asuaje","","116","434","385","92","17","4","6","45","42","39","82","4","2","2",".239",".313",".351",".664",".289","-1.0","-0.7","0.0","15197"
"Josh Harrison","Phillies","94","379","347","85","15","2","8","40","36","19","69","8","8","3",".245",".296",".369",".665",".284","0.0","0.1","0.0","8202"
"Kean Wong","Giants","124","529","488","123","22","3","8","55","43","31","117","5","7","5",".252",".302",".359",".661",".285","-2.0","-1.0","0.0","15994"
"Andrew Velazquez","Orioles","104","387","362","83","16","4","8","41","36","20","112","3","11","6",".229",".275",".362",".637",".272","3.0","-0.6","-0.1","14196"
"Tony Renda","","76","293","273","71","17","1","4","30","26","15","42","3","6","2",".260",".305",".374",".678",".290","-3.0","0.2","-0.1","13443"
"Daniel Descalso","Cubs","112","320","273","59","12","2","8","37","38","41","85","2","2","1",".216",".320",".363",".682",".297","-5.0","-0.2","-0.2","8392"
"Nolan Fontana","","78","306","260","52","12","1","6","33","25","38","86","2","4","2",".200",".304",".323",".627",".276","2.0","-0.2","-0.2","13267"
"Danny Espinosa","","117","453","407","78","14","0","12","45","47","32","140","9","9","3",".192",".264",".314",".578",".249","5.0","0.3","-0.2","9219"
"Mike Miller","","86","326","298","72","12","0","3","32","22","21","52","2","5","4",".242",".293",".312",".605",".265","0.0","-0.9","-0.2","13891"
"Erik Gonzalez","Pirates","92","273","257","62","13","2","5","28","21","11","73","1","5","3",".241",".274",".366",".640",".269","-1.0","-0.4","-0.3","13369"
"Alen Hanson","","102","319","296","65","10","3","8","36","31","16","81","2","12","5",".220",".263",".355",".617",".261","0.0","0.1","-0.3","12926"
"Eduardo Nunez","","106","406","386","98","17","1","9","42","41","14","57","2","13","4",".254",".281",".373",".655",".278","-4.0","0.7","-0.3","6848"
"Jesmuel Valentin","Orioles","111","414","374","81","15","2","7","41","34","33","104","3","6","4",".217",".284",".324",".608",".264","0.0","-0.7","-0.3","14548"
"Phil Gosselin","Phillies","123","377","339","79","15","3","5","39","31","32","83","1","2","2",".233",".299",".339",".638",".277","0.0","-0.7","-0.3","10953"
"Ryan Goins","Athletics","127","421","381","86","19","2","6","36","37","33","108","1","2","3",".226",".287",".333",".620",".268","-1.0","-1.1","-0.3","9807"
"Ivan De Jesus","","90","323","292","69","12","1","3","30","24","23","69","4","1","3",".236",".299",".315",".614",".270","-1.0","-1.3","-0.4","9886"
"Kelby Tomlinson","","109","356","325","82","12","2","0","34","21","25","71","2","7","4",".252",".308",".302",".609",".269","5.0","-0.5","-0.5","13005"
"Harold Castro","Tigers","126","491","467","122","15","3","6","44","40","14","98","2","6","6",".261",".283",".345",".628",".269","1.0","-1.7","-0.5","14691"
"Christopher Bostick","","122","487","442","105","22","3","10","52","47","33","119","5","6","5",".238",".296",".369",".665",".285","-6.0","-1.2","-0.5","13718"
"Sherman Johnson","","89","332","290","59","11","2","6","35","27","37","89","2","5","3",".203",".297",".317",".614",".272","0.0","-0.5","-0.5","13906"
"Arismendy Alcantara","","110","391","360","80","14","5","12","45","44","27","117","1","14","4",".222",".277",".389",".666",".281","-3.0","0.9","-0.5","10711"
"Cliff Pennington","","65","202","180","35","5","1","3","18","14","17","55","1","3","1",".194",".264",".283",".547",".241","-1.0","0.1","-0.5","3395"
"Gavin Cecchini","","98","389","357","83","15","1","6","39","32","27","79","1","4","3",".232",".287",".331",".617",".267","-2.0","-0.7","-0.6","17005"
"Gift Ngoepe","","75","250","222","37","10","2","5","24","20","24","105","2","2","2",".167",".253",".297",".550",".240","3.0","-0.6","-0.6","10340"
"Andres Blanco","Brewers","118","416","370","79","16","2","10","45","39","33","94","10","2","3",".214",".293",".349",".642",".279","-3.0","-1.1","-0.7","1907"
"Tyler Ladendorf","","53","167","154","30","6","0","1","15","10","11","42","1","1","1",".195",".251",".253",".505",".225","-1.0","-0.3","-0.7","3211"
"Richard Urena","Orioles","136","521","486","111","24","3","7","44","42","24","123","1","2","2",".228",".264",".333",".597",".255","1.0","-0.7","-0.7","16411"
"Ramon Torres","","98","365","343","77","14","2","5","34","27","15","65","1","6","4",".224",".258",".321",".578",".248","-1.0","-0.7","-0.7","14113"
"Blake Trahan","Reds","120","472","428","91","15","2","5","44","29","33","113","4","6","5",".213",".275",".292",".567",".249","6.0","-1.2","-0.8","17588"
"Chase d'Arnaud","","98","349","316","66","13","2","7","36","29","26","97","4","10","3",".209",".275",".329",".604",".261","-3.0","0.5","-0.8","6652"
"Sam Haggerty","Mariners","101","406","355","68","13","4","4","40","25","43","133","3","19","6",".192",".283",".285",".567",".253","-3.0","1.0","-0.8","18054"
"Jordan Pacheco","","73","238","217","44","10","0","2","20","15","14","49","4","1","0",".203",".261",".276",".537",".235","-6.0","0.1","-1.0","2677"
"Ty Kelly","","100","339","305","64","13","2","3","32","25","28","90","2","2","2",".210",".279",".295",".574",".254","-4.0","-0.6","-1.0","7740"
"Engelb Vielma","","83","308","277","55","9","2","0","25","13","21","77","2","2","4",".199",".257",".245",".503",".225","3.0","-1.5","-1.0","15481"
"Marco Hernandez","Red Sox","110","358","340","84","17","1","4","38","26","12","82","3","4","4",".247",".277",".338",".616",".263","-6.0","-1.1","-1.3","13154"
"Taylor Featherston","","106","408","375","69","11","3","10","37","35","21","165","8","5","3",".184",".241",".309",".550",".238","-3.0","-0.5","-1.5","12590"
