"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Alex Bregman","Astros","150","658","549","157","38","2","32","106","102","94","85","9","6","3","",".287",".396",".541",".937",".391","","150","0.1","-1.5","","42.0","0.6","6.4","17678"
"Anthony Rendon","Angels","150","655","565","161","37","2","28","92","99","75","96","9","4","2","",".284",".374",".506",".880",".367","","133","0.9","4.2","","28.2","6.7","5.6","12861"
"Matt Chapman","Athletics","150","656","571","147","35","3","34","95","97","68","153","9","3","1","",".257",".343",".510",".853",".356","","126","1.4","7.5","","23.2","10.0","5.5","16505"
"Josh Donaldson","Twins","147","644","538","144","30","1","36","100","103","93","151","6","4","2","",".267",".379",".527",".906",".378","","137","-0.4","0.9","","29.9","1.6","5.3","5038"
"Jose Ramirez","Indians","150","648","564","156","39","3","31","95","101","72","84","5","23","8","",".277",".362",".523",".884",".366","","125","3.9","2.7","","24.8","5.2","5.1","13510"
"Nolan Arenado","Rockies","150","657","580","172","35","3","40","100","114","67","106","5","3","2","",".296",".371",".572",".942",".385","","124","0.5","5.3","","21.0","7.8","4.9","9777"
"Kris Bryant","Cubs","150","669","565","154","35","2","31","100","91","81","150","15","4","2","",".273",".377",".508",".884",".371","","129","2.8","-2.2","","28.6","-0.8","4.8","15429"
"Rafael Devers","Red Sox","149","636","576","172","42","3","32","95","103","49","113","4","9","5","",".300",".355",".546",".901",".371","","128","1.4","-1.0","","24.4","1.5","4.7","17350"
"Manny Machado","Padres","150","664","591","161","29","3","37","93","102","63","119","4","7","3","",".272",".343",".518",".862",".356","","122","-0.6","4.7","","18.4","7.2","4.6","11493"
"Yoan Moncada","White Sox","150","662","586","156","31","4","28","92","86","64","181","5","12","5","",".267",".341",".475",".816",".342","","116","1.9","0.3","","15.2","2.8","4.0","17232"
"Justin Turner","Dodgers","139","613","533","150","32","1","26","86","85","58","96","15","3","1","",".281",".364",".488",".852",".359","","125","-0.7","-3.3","","19.7","-1.0","3.7","5235"
"Vladimir Guerrero Jr.","Blue Jays","143","622","553","163","33","2","25","86","87","57","98","5","3","1","",".295",".363",".501",".864",".362","","127","-1.6","-3.5","","20.2","-5.2","3.6","19611"
"Eugenio Suarez","Reds","150","651","562","142","24","2","36","88","97","73","170","9","3","2","",".253",".345",".492",".838",".349","","113","-1.8","-2.4","","8.9","0.1","2.9","12552"
"Brian Anderson","Marlins","150","655","576","149","33","2","21","76","76","59","139","12","5","2","",".259",".339",".432",".771",".328","","105","0.1","0.3","","4.8","1.9","2.7","18289"
"Kyle Seager","Mariners","141","593","531","129","28","1","26","68","78","50","120","6","3","2","",".243",".312",".445",".757",".318","","101","-0.8","1.3","","0.2","3.6","2.4","9785"
"Miguel Sano","Twins","139","588","510","125","24","2","37","85","98","68","205","4","1","1","",".246",".337",".519",".856",".355","","121","-1.5","-0.5","","14.5","-11.0","2.4","12164"
"Eduardo Escobar","Diamondbacks","150","651","590","152","32","7","25","80","87","49","129","5","4","2","",".257",".317",".462",".779",".324","","98","0.6","0.1","","-1.2","2.6","2.2","6153"
"Yandy Diaz","Rays","125","537","466","128","23","2","12","63","58","62","103","3","4","2","",".274",".361",".410",".771",".333","","111","-0.2","-1.3","","7.1","-4.0","2.1","16578"
