"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jorge Soler","Royals","150","641","554","143","30","1","35","87","96","72","172","8","4","2","",".257",".349",".503",".852",".356","","121","-0.5","-0.9","","16.5","-16.8","2.2","14221"
"Andrew McCutchen","Phillies","131","590","502","130","25","2","27","83","74","75","131","6","8","4","",".258",".359",".476",".835",".353","","117","-0.9","-2.3","","12.1","-8.9","2.2","9847"
"Adam Eaton","Nationals","143","642","557","157","29","5","15","88","64","64","111","12","12","4","",".282",".366",".433",".799",".344","","109","2.0","-1.3","","9.5","-8.4","2.1","11205"
"Whit Merrifield","Royals","150","688","624","176","37","6","14","90","65","48","114","6","23","8","",".282",".337",".427",".763",".323","","99","2.7","-5.1","","1.6","-5.2","2.0","11281"
"David Peralta","Diamondbacks","138","605","544","152","32","4","22","77","77","48","121","6","3","1","",".280",".342",".471",".814",".341","","109","0.2","0.1","","7.1","-6.5","2.0","2136"
"Victor Robles","Nationals","150","609","546","143","31","3","17","71","71","39","128","15","27","11","",".262",".326",".422",".748",".318","","92","1.2","3.5","","-5.3","5.6","1.9","18363"
"Trey Mancini","Orioles","150","657","588","160","31","2","30","86","90","54","148","7","1","1","",".272",".338",".486",".824",".345","","113","-0.4","-3.6","","10.8","-14.5","1.9","15149"
"Kevin Kiermaier","Rays","113","474","428","102","19","5","14","54","53","34","109","6","15","6","",".240",".302",".410",".712",".301","","89","2.2","5.1","","-4.5","7.0","1.9","11038"
"Jackie Bradley Jr.","Red Sox","138","538","469","113","27","3","18","67","66","52","141","9","10","4","",".240",".325",".426",".751",".318","","93","1.8","0.8","","-3.2","3.1","1.8","12984"
"Brett Gardner","Yankees","118","509","447","110","20","4","17","67","57","50","100","5","10","3","",".246",".327",".422",".748",".319","","98","2.3","-1.5","","1.2","-0.4","1.8","9927"
"Trent Grisham","Padres","118","516","446","109","20","4","18","65","55","58","111","4","10","4","",".245",".335",".427",".761",".324","","101","0.8","-0.2","","1.5","0.5","1.8","18564"
"Randal Grichuk","Blue Jays","130","548","502","123","30","3","30","71","84","34","148","5","3","1","",".245",".298",".499",".797",".329","","105","0.2","-1.6","","3.4","-4.2","1.8","10243"
"Charlie Blackmon","Rockies","143","653","585","172","33","6","29","100","83","50","120","8","8","3","",".294",".356",".520",".877",".365","","111","0.3","-4.9","","9.5","-12.1","1.8","7859"
"Adam Frazier","Pirates","130","561","502","139","29","5","10","64","53","43","75","7","7","4","",".277",".340",".412",".752",".321","","98","1.0","-1.4","","-0.6","0.8","1.8","15223"
"Brandon Nimmo","Mets","118","509","418","97","21","3","15","63","50","74","137","10","7","3","",".231",".358",".399",".757",".329","","107","1.0","-5.2","","5.7","-4.6","1.7","12927"
"Justin Upton","Angels","144","624","547","131","25","1","30","81","91","66","187","6","5","2","",".240",".325",".456",".781",".329","","107","0.7","-3.6","","6.4","-12.1","1.6","5222"
"Jason Heyward","Cubs","122","507","444","116","22","3","14","59","58","52","85","4","6","2","",".261",".342",".418",".760",".324","","98","1.4","3.5","","0.2","-0.5","1.6","4940"
"Yasiel Puig","","112","467","418","112","21","2","21","58","68","41","96","4","12","5","",".268",".335",".479",".814",".341","","111","-0.9","-0.1","","5.6","-5.7","1.5","14225"
"Franmil Reyes","Indians","136","572","510","133","23","1","36","80","93","52","148","3","1","1","",".260",".329",".517",".846",".350","","115","-0.6","-0.5","","10.1","-15.1","1.5","14566"
"Lourdes Gurriel Jr.","Blue Jays","139","598","555","147","30","2","27","75","84","29","138","7","9","4","",".265",".308",".472",".780",".325","","102","0.4","-0.6","","2.1","-8.2","1.5","19238"
"Khris Davis","Athletics","147","628","557","135","24","1","38","85","102","59","175","7","1","0","",".243",".321",".497",".818",".339","","115","-1.9","-0.2","","9.8","-17.2","1.4","9112"
"Nomar Mazara","White Sox","120","516","466","119","23","1","25","66","76","39","115","5","3","1","",".255",".318",".467",".784",".327","","106","-0.6","-0.8","","3.1","-6.8","1.4","14553"
"Shed Long","Mariners","122","509","458","113","22","3","15","57","54","40","124","4","9","4","",".247",".311",".406",".717",".305","","92","0.9","-0.7","","-4.1","0.6","1.4","16542"
"Austin Hays","Orioles","115","480","446","115","23","1","21","58","63","24","103","4","9","4","",".258",".300",".458",".757",".316","","94","0.4","-1.5","","-3.2","0.5","1.4","19363"
"Stephen Piscotty","Athletics","104","431","384","101","23","1","17","54","58","37","91","6","2","1","",".262",".334",".462",".796",".335","","112","-0.7","-1.7","","6.1","-7.2","1.4","13367"
"Kyle Tucker","Astros","99","409","366","91","18","2","20","56","59","33","98","4","14","5","",".248",".315",".471",".786",".328","","107","0.5","0.4","","4.1","-4.6","1.4","18345"
"Ian Happ","Cubs","102","418","360","86","17","1","18","52","54","48","122","3","6","3","",".238",".332",".444",".776",".328","","101","0.1","-0.9","","0.5","-0.1","1.4","17919"
"Harrison Bader","Cardinals","88","349","307","73","13","2","12","37","40","31","99","7","8","4","",".238",".318",".407",".726",".308","","91","1.1","4.7","","-3.1","5.3","1.3","18030"
"Kole Calhoun","Diamondbacks","134","576","500","122","25","2","23","71","71","63","138","6","4","2","",".243",".332",".441",".774",".326","","99","-0.1","2.0","","-1.0","-4.7","1.3","11200"
"J.D. Davis","Mets","118","492","441","116","22","1","21","60","66","41","114","4","3","1","",".264",".329",".461",".790",".332","","109","-0.7","-3.9","","5.0","-8.5","1.2","16219"
"Gregory Polanco","Pirates","130","556","492","122","28","3","22","67","70","53","126","4","9","3","",".249",".325",".448",".773",".325","","100","0.5","-0.2","","0.6","-6.7","1.2","12907"
"Manuel Margot","Rays","86","359","325","81","16","3","9","42","38","27","68","2","12","5","",".250",".310",".403",".713",".303","","90","0.8","4.0","","-3.6","2.7","1.1","14712"
"Nicholas Castellanos","Reds","139","618","561","153","41","2","26","83","84","44","144","6","3","1","",".273",".330",".494",".823",".343","","108","-0.3","-8.3","","6.4","-15.3","1.1","11737"
"Mitch Haniger","Mariners","78","346","302","75","16","1","13","43","41","34","86","6","4","2","",".249",".334",".445",".778",".330","","109","-0.3","0.0","","3.6","-4.9","1.1","14274"
"Jesse Winker","Reds","93","401","346","97","18","1","14","52","47","45","64","5","2","1","",".280",".368",".461",".829",".352","","114","-0.8","-3.0","","6.5","-8.6","1.1","13590"
"Anthony Santander","Orioles","136","582","539","141","30","2","24","69","78","31","116","5","5","2","",".262",".306",".454",".760",".318","","95","0.5","-0.4","","-3.1","-6.6","1.1","14551"
"Alex Gordon","Royals","118","505","446","115","23","1","14","58","57","42","97","11","5","2","",".258",".334",".406",".740",".317","","94","-0.9","3.3","","-4.6","-2.6","1.0","5209"
